team,year,conference,is_national_champion,conference_champion,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent,win_percentage,yards_per_game,yards_allowed_per_game,yard_differential,turnover_margin,first_down_differential,third_down_conversion_rate,fourth_down_conversion_rate,rushing_yards_per_attempt,passing_yards_per_attempt,completion_percentage,offensive_efficiency,defensive_efficiency,win_strength,consistency_score,pythagorean_expectation,margin_of_victory,turnovers_per_game,turnover_margin_per_game,offensive_balance,defensive_pressure,conference_strength,conference_rank,conference_dominance,prev_year_win_pct,prev_year_yards_per_game,prev_year_yard_differential,win_pct_3yr,yards_per_game_3yr,win_pct_trend
Air Force,2018.0,MWC,0.0,None,264.0,209.0,24.0,8.0,39.0,18.0,10.0,7.0,7.0,8.0,12.0,2.0,0.0,131.0,8.0,5.0,7.0,0.0,0.0,233.0,550.0,12.0,32.0,1576.0,2928.0,168.0,326.0,93.0,200.0,7.0,5.0,10.0,23.0,54.0,72.0,521.0,676.0,24640.0,18329.0,1.0,1.0,110.0,187.0,12.0,11.0,713.0,406.0,33.0,17.0,3404.0,1403.0,12.0,7.0,51.0,59.0,70.0,64.0,169.0,153.0,4980.0,4331.0,15.0,14.0,,415.0,360.9166666666667,649.0,-1.0,55.0,0.4142011834319526,0.6153846153846154,4.774193548387097,9.38095238095238,0.5535714285714286,415.0,360.9166666666667,,,0.5819847881313498,54.083333333333336,1.25,-0.08333333333333333,0.6835341365461848,63.0,,,,,394.43589743589746,134.5,,415.0,
Air Force,2019.0,MWC,0.0,None,286.0,215.0,16.0,13.0,21.0,28.0,12.0,9.0,14.0,21.0,13.0,3.0,0.0,240.0,161.0,6.0,7.0,0.0,0.0,93.0,772.0,13.0,39.0,1602.0,2844.0,126.0,377.0,68.0,238.0,7.0,6.0,14.0,21.0,42.0,54.0,368.0,392.0,26885.0,19914.0,0.0,0.0,6.0,38.0,5.0,7.0,755.0,375.0,41.0,11.0,3881.0,1307.0,32.0,8.0,73.0,67.0,84.0,64.0,157.0,158.0,5483.0,4151.0,18.0,16.0,,421.7692307692308,319.3076923076923,1332.0,-2.0,71.0,0.535031847133758,0.7619047619047619,5.140397350993378,12.714285714285714,0.5396825396825397,421.7692307692308,319.3076923076923,,,0.6591656781574985,102.46153846153847,1.3846153846153846,-0.15384615384615385,0.707824183840963,105.0,,,,,415.0,649.0,,418.38461538461536,
Air Force,2020.0,MWC,0.0,None,128.0,106.0,8.0,3.0,11.0,10.0,5.0,3.0,3.0,5.0,6.0,0.0,0.0,88.0,0.0,3.0,5.0,0.0,1.0,32.0,297.0,1.0,12.0,502.0,1001.0,61.0,143.0,34.0,88.0,5.0,1.0,3.0,7.0,27.0,29.0,245.0,265.0,11700.0,9900.0,0.0,0.0,5.0,15.0,1.0,4.0,312.0,217.0,16.0,4.0,1834.0,819.0,7.0,2.0,17.0,16.0,33.0,34.0,68.0,73.0,2336.0,1820.0,8.0,8.0,,389.3333333333333,303.3333333333333,516.0,0.0,22.0,0.4852941176470588,0.7272727272727273,5.878205128205129,8.229508196721312,0.5573770491803278,389.3333333333333,303.3333333333333,,,0.6437231044025246,86.0,1.3333333333333333,0.0,0.7851027397260274,24.0,,,,,421.7692307692308,1332.0,,408.7008547008547,
Air Force,2021.0,MWC,0.0,None,284.0,198.0,32.0,10.0,41.0,24.0,6.0,8.0,9.0,7.0,13.0,0.0,0.0,53.0,89.0,4.0,8.0,0.0,1.0,68.0,794.0,14.0,39.0,1242.0,2526.0,113.0,341.0,55.0,191.0,8.0,4.0,8.0,15.0,55.0,71.0,505.0,568.0,28564.0,18236.0,0.0,0.0,36.0,26.0,5.0,7.0,836.0,397.0,44.0,18.0,4267.0,1330.0,37.0,11.0,68.0,41.0,88.0,69.0,195.0,171.0,5509.0,3856.0,10.0,16.0,,423.7692307692308,296.61538461538464,1653.0,6.0,86.0,0.4512820512820513,0.7804878048780488,5.104066985645933,10.991150442477876,0.4867256637168141,423.7692307692308,296.61538461538464,,,0.6996231537828197,127.15384615384616,0.7692307692307693,0.46153846153846156,0.7745507351606462,105.0,,,,,389.3333333333333,516.0,,411.62393162393164,
Air Force,2022.0,MWC,0.0,None,266.0,167.0,21.0,9.0,29.0,22.0,11.0,7.0,8.0,14.0,13.0,0.0,0.0,89.0,22.0,2.0,9.0,0.0,0.0,54.0,594.0,5.0,35.0,916.0,2048.0,87.0,291.0,41.0,170.0,9.0,2.0,8.0,10.0,51.0,59.0,386.0,415.0,28361.0,18439.0,0.0,0.0,11.0,28.0,4.0,9.0,802.0,366.0,37.0,10.0,4254.0,1239.0,24.0,12.0,66.0,44.0,79.0,39.0,176.0,140.0,5170.0,3287.0,13.0,16.0,,397.6923076923077,252.84615384615384,1883.0,3.0,99.0,0.4488636363636363,0.7241379310344828,5.304239401496259,10.528735632183908,0.4712643678160919,397.6923076923077,252.84615384615384,,,0.7452366650935097,144.84615384615384,1.0,0.23076923076923078,0.8228239845261122,90.0,,,,,423.7692307692308,1653.0,,403.5982905982906,
Air Force,2023.0,MWC,0.0,None,255.0,191.0,17.0,12.0,25.0,22.0,11.0,3.0,4.0,11.0,13.0,2.0,0.0,162.0,60.0,6.0,10.0,0.0,0.0,76.0,470.0,4.0,28.0,1105.0,2429.0,105.0,350.0,55.0,216.0,10.0,6.0,7.0,18.0,39.0,68.0,322.0,629.0,26088.0,20712.0,0.0,0.0,23.0,19.0,8.0,8.0,711.0,387.0,36.0,11.0,3648.0,1190.0,30.0,11.0,68.0,46.0,78.0,57.0,168.0,162.0,4753.0,3619.0,17.0,13.0,,365.61538461538464,278.38461538461536,1134.0,-4.0,64.0,0.4642857142857143,0.68,5.1308016877637135,10.523809523809524,0.5238095238095238,365.61538461538464,278.38461538461536,,,0.6561108665777045,87.23076923076923,1.3076923076923077,-0.3076923076923077,0.76751525352409,98.0,,,,,397.6923076923077,1883.0,,395.6923076923077,
Air Force,2024.0,MWC,0.0,None,215.0,204.0,23.0,15.0,36.0,27.0,5.0,8.0,8.0,5.0,12.0,0.0,0.0,80.0,149.0,10.0,4.0,0.0,0.0,73.0,365.0,5.0,19.0,1077.0,2262.0,138.0,289.0,62.0,187.0,4.0,10.0,5.0,12.0,36.0,63.0,336.0,581.0,24457.0,18743.0,0.0,1.0,42.0,165.0,8.0,12.0,668.0,401.0,24.0,23.0,2696.0,1845.0,18.0,17.0,52.0,59.0,78.0,52.0,184.0,140.0,3773.0,4107.0,15.0,12.0,,314.4166666666667,342.25,-334.0,-3.0,11.0,0.4239130434782608,0.6388888888888888,4.0359281437125745,7.804347826086956,0.4492753623188406,314.4166666666667,342.25,,,0.4499113029611834,-27.833333333333332,1.25,-0.25,0.7145507553670819,70.0,,,,,365.61538461538464,1134.0,,359.24145299145306,
Akron,2018.0,Mid-American,0.0,None,202.0,256.0,5.0,12.0,17.0,24.0,12.0,11.0,9.0,7.0,12.0,2.0,2.0,209.0,35.0,14.0,10.0,0.0,0.0,343.0,420.0,24.0,18.0,2390.0,2293.0,374.0,367.0,187.0,222.0,10.0,14.0,16.0,13.0,80.0,77.0,733.0,766.0,20269.0,22852.0,1.0,1.0,150.0,140.0,17.0,23.0,390.0,530.0,5.0,23.0,1159.0,2411.0,22.0,34.0,81.0,83.0,49.0,70.0,169.0,189.0,3549.0,4704.0,26.0,21.0,,295.75,392.0,-1155.0,-5.0,-54.0,0.2899408284023668,0.2941176470588235,2.971794871794872,6.390374331550802,0.5,295.75,392.0,,,0.3390028108397627,-96.25,2.1666666666666665,-0.4166666666666667,0.3265708650324035,103.0,,,,,394.43589743589746,134.5,,295.75,
Akron,2019.0,Mid-American,0.0,None,156.0,261.0,7.0,8.0,23.0,15.0,12.0,6.0,9.0,22.0,12.0,1.0,2.0,120.0,318.0,14.0,5.0,0.0,0.0,859.0,223.0,40.0,16.0,2344.0,2405.0,398.0,305.0,204.0,201.0,5.0,14.0,12.0,23.0,81.0,64.0,628.0,571.0,19072.0,24128.0,0.0,0.0,35.0,129.0,12.0,23.0,327.0,566.0,2.0,28.0,562.0,2562.0,12.0,72.0,64.0,137.0,42.0,98.0,161.0,185.0,2906.0,4967.0,26.0,11.0,,242.16666666666663,413.9166666666667,-2061.0,-15.0,-105.0,0.2608695652173913,0.3043478260869565,1.7186544342507646,5.889447236180905,0.5125628140703518,242.16666666666666,413.9166666666667,,,0.21918687362534486,-171.75,2.1666666666666665,-1.25,0.19339298004129388,76.0,,,,,295.75,-1155.0,,268.9583333333333,
Akron,2020.0,Mid-American,0.0,None,95.0,124.0,4.0,4.0,9.0,7.0,3.0,4.0,4.0,3.0,6.0,0.0,2.0,44.0,179.0,6.0,2.0,0.0,0.0,496.0,340.0,25.0,16.0,838.0,1270.0,148.0,127.0,83.0,85.0,2.0,6.0,4.0,12.0,23.0,38.0,185.0,374.0,10800.0,10424.0,1.0,0.0,-8.0,141.0,3.0,19.0,211.0,238.0,7.0,19.0,842.0,1489.0,9.0,26.0,15.0,41.0,26.0,39.0,77.0,73.0,1680.0,2759.0,9.0,6.0,,280.0,459.8333333333333,-1079.0,-3.0,-29.0,0.3376623376623376,0.4444444444444444,3.990521327014218,5.662162162162162,0.5608108108108109,280.0,459.8333333333333,,,0.23582684657513542,-179.83333333333334,1.5,-0.5,0.5011904761904762,24.0,,,,,242.16666666666663,-2061.0,,272.63888888888886,
Akron,2021.0,Mid-American,0.0,None,225.0,286.0,14.0,7.0,32.0,10.0,12.0,5.0,6.0,13.0,12.0,1.0,2.0,79.0,77.0,5.0,6.0,1.0,1.0,662.0,452.0,53.0,24.0,2610.0,2622.0,352.0,301.0,226.0,201.0,6.0,5.0,21.0,26.0,68.0,78.0,553.0,651.0,22428.0,20772.0,0.0,0.0,50.0,217.0,9.0,26.0,432.0,482.0,8.0,32.0,1463.0,2987.0,15.0,61.0,45.0,101.0,62.0,77.0,163.0,142.0,4073.0,5609.0,17.0,11.0,,339.4166666666667,467.4166666666667,-1536.0,-6.0,-61.0,0.3803680981595092,0.4375,3.386574074074074,7.414772727272728,0.6420454545454546,339.4166666666667,467.4166666666667,,,0.3189975429356266,-128.0,1.4166666666666667,-0.5,0.35919469678369753,60.0,,,,,280.0,-1079.0,,287.1944444444444,
Akron,2022.0,Mid-American,0.0,None,254.0,235.0,12.0,14.0,24.0,19.0,12.0,2.0,2.0,12.0,12.0,1.0,2.0,119.0,142.0,10.0,8.0,0.0,0.0,866.0,616.0,42.0,33.0,3124.0,2644.0,457.0,313.0,296.0,192.0,8.0,10.0,13.0,19.0,72.0,84.0,652.0,678.0,19937.0,19633.0,0.0,0.0,88.0,141.0,17.0,19.0,348.0,432.0,15.0,25.0,1026.0,1922.0,18.0,55.0,58.0,101.0,52.0,55.0,155.0,148.0,4150.0,4566.0,22.0,10.0,,345.8333333333333,380.5,-416.0,-12.0,19.0,0.3354838709677419,0.5,2.9482758620689653,6.835886214442013,0.6477024070021882,345.8333333333333,380.5,,,0.44363948343350434,-34.666666666666664,1.8333333333333333,-1.0,0.2472289156626506,76.0,,,,,339.4166666666667,-1536.0,,321.75,
Akron,2023.0,Mid-American,0.0,None,200.0,214.0,8.0,12.0,23.0,23.0,6.0,5.0,5.0,6.0,12.0,1.0,1.0,191.0,223.0,15.0,6.0,0.0,0.0,632.0,517.0,36.0,31.0,2371.0,2247.0,425.0,333.0,258.0,186.0,6.0,15.0,10.0,19.0,83.0,57.0,722.0,540.0,21285.0,21904.0,0.0,0.0,110.0,25.0,18.0,15.0,346.0,443.0,12.0,23.0,972.0,1780.0,19.0,38.0,62.0,65.0,57.0,61.0,171.0,168.0,3343.0,4027.0,21.0,11.0,,278.5833333333333,335.5833333333333,-684.0,-10.0,-14.0,0.3333333333333333,0.3478260869565217,2.8092485549132946,5.578823529411765,0.6070588235294118,278.5833333333333,335.5833333333333,,,0.3914591710468778,-57.0,1.75,-0.8333333333333334,0.2907568052647323,81.0,,,,,345.8333333333333,-416.0,,321.27777777777777,
Akron,2024.0,Mid-American,0.0,None,215.0,244.0,5.0,15.0,16.0,26.0,10.0,7.0,7.0,10.0,12.0,0.0,1.0,27.0,84.0,10.0,3.0,0.0,0.0,395.0,294.0,25.0,15.0,2790.0,2780.0,420.0,343.0,234.0,221.0,3.0,10.0,16.0,24.0,76.0,80.0,584.0,641.0,20556.0,22644.0,2.0,0.0,27.0,147.0,8.0,16.0,342.0,469.0,11.0,23.0,1206.0,2184.0,18.0,29.0,60.0,63.0,58.0,62.0,162.0,163.0,3996.0,4964.0,20.0,10.0,,333.0,413.6666666666667,-968.0,-10.0,-29.0,0.3580246913580246,0.3125,3.526315789473684,6.642857142857143,0.5571428571428572,333.0,413.6666666666667,,,0.37423389544884234,-80.66666666666667,1.6666666666666667,-0.8333333333333334,0.30180180180180183,78.0,,,,,278.5833333333333,-684.0,,319.13888888888886,
Alabama,2018.0,SEC,0.0,None,372.0,253.0,7.0,11.0,16.0,24.0,8.0,7.0,6.0,7.0,15.0,4.0,2.0,276.0,149.0,8.0,14.0,1.0,0.0,523.0,825.0,24.0,41.0,4854.0,2974.0,438.0,465.0,301.0,244.0,14.0,8.0,52.0,22.0,86.0,91.0,796.0,776.0,27411.0,26376.0,1.0,0.0,250.0,31.0,20.0,8.0,572.0,516.0,33.0,11.0,2974.0,1818.0,44.0,14.0,105.0,58.0,86.0,76.0,165.0,223.0,7828.0,4792.0,16.0,21.0,,521.8666666666667,319.46666666666664,3036.0,5.0,119.0,0.5212121212121212,0.4375,5.199300699300699,11.082191780821915,0.6872146118721462,521.8666666666667,319.46666666666664,,,0.7618954134724393,202.4,1.0666666666666667,0.3333333333333333,0.3799182422074604,149.0,,,,,394.43589743589746,134.5,,521.8666666666667,
Alabama,2019.0,SEC,0.0,None,318.0,248.0,13.0,7.0,19.0,19.0,4.0,11.0,17.0,6.0,13.0,2.0,2.0,245.0,220.0,6.0,17.0,1.0,0.0,637.0,469.0,31.0,43.0,4449.0,2434.0,406.0,410.0,287.0,230.0,17.0,6.0,49.0,15.0,95.0,75.0,855.0,628.0,23390.0,23380.0,3.0,0.0,531.0,101.0,24.0,11.0,436.0,467.0,27.0,9.0,2191.0,1783.0,37.0,17.0,101.0,84.0,80.0,66.0,153.0,185.0,6640.0,4217.0,10.0,28.0,,510.7692307692308,324.38461538461536,2423.0,18.0,70.0,0.5228758169934641,0.6842105263157895,5.025229357798165,10.958128078817737,0.7068965517241379,510.7692307692308,324.38461538461536,,,0.7457270843368775,186.3846153846154,0.7692307692307693,1.3846153846153846,0.3299698795180723,138.0,,,,,521.8666666666667,3036.0,,516.3179487179488,
Alabama,2020.0,SEC,0.0,None,365.0,259.0,6.0,13.0,9.0,24.0,8.0,10.0,10.0,8.0,13.0,3.0,0.0,212.0,83.0,4.0,12.0,0.0,0.0,276.0,618.0,18.0,34.0,4656.0,3109.0,425.0,468.0,324.0,272.0,12.0,4.0,42.0,15.0,78.0,76.0,625.0,592.0,24032.0,22639.0,1.0,0.0,299.0,22.0,20.0,5.0,475.0,440.0,37.0,15.0,2378.0,1480.0,27.0,18.0,71.0,51.0,87.0,83.0,145.0,201.0,7034.0,4589.0,12.0,22.0,,541.0769230769231,353.0,2445.0,10.0,106.0,0.6,0.6666666666666666,5.0063157894736845,10.95529411764706,0.7623529411764706,541.0769230769231,353.0,,,0.7334526918673957,188.07692307692307,0.9230769230769231,0.7692307692307693,0.3380722206425931,98.0,,,,,510.7692307692308,2423.0,,524.5709401709402,
Alabama,2021.0,SEC,0.0,None,367.0,265.0,9.0,17.0,17.0,31.0,6.0,6.0,6.0,6.0,15.0,2.0,1.0,189.0,96.0,7.0,15.0,2.0,1.0,480.0,455.0,20.0,26.0,5073.0,3271.0,571.0,471.0,380.0,297.0,15.0,7.0,48.0,25.0,107.0,100.0,990.0,731.0,29142.0,25448.0,2.0,0.0,260.0,85.0,33.0,14.0,548.0,485.0,21.0,9.0,2250.0,1271.0,57.0,41.0,119.0,105.0,117.0,65.0,225.0,209.0,7323.0,4542.0,13.0,21.0,,488.2,302.8,2781.0,8.0,102.0,0.52,0.5294117647058824,4.105839416058394,8.884413309982486,0.6654991243432574,488.2,302.8,,,0.7562145778826043,185.4,0.8666666666666667,0.5333333333333333,0.3072511265874642,176.0,,,,,541.0769230769231,2445.0,,513.348717948718,
